"RK","GOLDER","CNTRY","WINS","TOP_10_FINISHES","TOP_25_FINISHES","AMOUNT","PROFILE"
"233","Michael Bradley","USA","0","0","0","$13,514","http://www.cbssports.com/golf/players/playerpage/131968/michael-bradley"
"234","Steven Bowditch","AUS","0","0","0","$12,586","http://www.cbssports.com/golf/players/playerpage/401293/steven-bowditch"
"235","Bobby Gates","USA","0","0","0","$12,352","http://www.cbssports.com/golf/players/playerpage/1675822/bobby-gates"
"236","Fred Funk","USA","0","0","0","$11,280","http://www.cbssports.com/golf/players/playerpage/132017/fred-funk"
"237","Max Homa","USA","0","0","0","$11,008","http://www.cbssports.com/golf/players/playerpage/2065269/max-homa"
"238","George McNeill","USA","0","0","0","$9,984","http://www.cbssports.com/golf/players/playerpage/460200/george-mcneill"
"238","Tim Petrovic","USA","0","0","0","$9,984","http://www.cbssports.com/golf/players/playerpage/285345/tim-petrovic"
"238","David Toms","USA","0","0","0","$9,984","http://www.cbssports.com/golf/players/playerpage/132128/david-toms"
"241","Eric Axley","USA","0","0","0","$9,198","http://www.cbssports.com/golf/players/playerpage/458825/eric-axley"
"242","Tommy Gainey","USA","0","0","0","$8,736","http://www.cbssports.com/golf/players/playerpage/1221887/tommy-gainey"
"242","John Rollins","USA","0","0","0","$8,736","http://www.cbssports.com/golf/players/playerpage/149628/john-rollins"
"244","Robert Allenby","AUS","0","0","0","$8,526","http://www.cbssports.com/golf/players/playerpage/131953/robert-allenby"
"245","Stuart Appleby","AUS","0","0","0","$8,064","http://www.cbssports.com/golf/players/playerpage/131956/stuart-appleby"
"246","Craig Barlow","USA","0","0","0","$7,896","http://www.cbssports.com/golf/players/playerpage/149680/craig-barlow"
