"RK","GOLDER","CNTRY","WINS","TOP_10_FINISHES","TOP_25_FINISHES","AMOUNT","PROFILE"
"23","Charley Hoffman","USA","0","5","10","$2,430,181","http://www.cbssports.com/golf/players/playerpage/238121/charley-hoffman"
"24","Russell Henley","USA","1","3","8","$2,396,021","http://www.cbssports.com/golf/players/playerpage/1746758/russell-henley"
"25","Kevin Chappell","USA","1","3","4","$2,173,665","http://www.cbssports.com/golf/players/playerpage/1626409/kevin-chappell"
"26","Paul Casey","ENG","0","5","11","$2,172,891","http://www.cbssports.com/golf/players/playerpage/399360/paul-casey"
"27","Gary Woodland","USA","0","4","5","$2,166,377","http://www.cbssports.com/golf/players/playerpage/1279672/gary-woodland"
"28","Matt Kuchar","USA","0","4","11","$2,063,659","http://www.cbssports.com/golf/players/playerpage/285325/matt-kuchar"
"29","Wesley Bryan","USA","1","4","4","$2,056,176","http://www.cbssports.com/golf/players/playerpage/2234683/wesley-bryan"
"30","Louis Oosthuizen","SAF","0","2","7","$2,009,697","http://www.cbssports.com/golf/players/playerpage/471382/louis-oosthuizen"
"31","Mackenzie Hughes","CAN","1","2","7","$2,003,060","http://www.cbssports.com/golf/players/playerpage/1998149/mackenzie-hughes"
"32","Webb Simpson","USA","0","3","7","$1,854,567","http://www.cbssports.com/golf/players/playerpage/1098591/webb-simpson"
"33","Charl Schwartzel","SAF","0","3","4","$1,836,386","http://www.cbssports.com/golf/players/playerpage/1194890/charl-schwartzel"
"34","Francesco Molinari","ITA","0","4","11","$1,834,631","http://www.cbssports.com/golf/players/playerpage/1195203/francesco-molinari"
"35","Hudson Swafford","USA","1","3","4","$1,822,944","http://www.cbssports.com/golf/players/playerpage/1228124/hudson-swafford"
"36","Sung Kang","KOR","0","3","8","$1,816,816","http://www.cbssports.com/golf/players/playerpage/520991/sung-kang"
"37","Cameron Smith","AUS","1","3","4","$1,786,043","http://www.cbssports.com/golf/players/playerpage/2075023/cameron-smith"
"38","Tony Finau","USA","0","4","8","$1,694,042","http://www.cbssports.com/golf/players/playerpage/1128992/tony-finau"
"39","Jason Day","AUS","0","2","6","$1,633,400","http://www.cbssports.com/golf/players/playerpage/533501/jason-day"
"40","Anirban Lahiri","IND","0","2","6","$1,633,186","http://www.cbssports.com/golf/players/playerpage/1697795/anirban-lahiri"
"41","Brandt Snedeker","USA","0","4","8","$1,625,806","http://www.cbssports.com/golf/players/playerpage/490805/brandt-snedeker"
"42","Keegan Bradley","USA","0","5","9","$1,623,606","http://www.cbssports.com/golf/players/playerpage/1674027/keegan-bradley"
"43","Martin Laird","SCO","0","5","7","$1,600,106","http://www.cbssports.com/golf/players/playerpage/518224/martin-laird"
"44","Lucas Glover","USA","0","4","6","$1,589,970","http://www.cbssports.com/golf/players/playerpage/460254/lucas-glover"
"45","Luke List","USA","0","3","8","$1,582,116","http://www.cbssports.com/golf/players/playerpage/399343/luke-list"
"46","Phil Mickelson","USA","0","4","10","$1,573,379","http://www.cbssports.com/golf/players/playerpage/132075/phil-mickelson"
"47","Sean O'Hair","USA","0","4","6","$1,538,903","http://www.cbssports.com/golf/players/playerpage/471182/sean-ohair"
"48","Rory McIlroy","NIR","0","4","5","$1,528,990","http://www.cbssports.com/golf/players/playerpage/554014/rory-mcilroy"
"49","Patrick Reed","USA","0","2","10","$1,525,353","http://www.cbssports.com/golf/players/playerpage/1757897/patrick-reed"
"50","Adam Scott","AUS","0","4","7","$1,462,344","http://www.cbssports.com/golf/players/playerpage/399342/adam-scott"
"51","Rod Pampling","AUS","1","1","2","$1,459,934","http://www.cbssports.com/golf/players/playerpage/285340/rod-pampling"
"52","Danny Lee","NZL","0","3","8","$1,403,351","http://www.cbssports.com/golf/players/playerpage/1196122/danny-lee"
"53","James Hahn","USA","0","3","5","$1,383,038","http://www.cbssports.com/golf/players/playerpage/1733532/james-hahn"
"54","Jonas Blixt","SWE","1","1","4","$1,375,913","http://www.cbssports.com/golf/players/playerpage/502962/jonas-blixt"
"55","Scott Brown","USA","0","2","4","$1,373,100","http://www.cbssports.com/golf/players/playerpage/1196758/scott-brown"
"56","Ryan Moore","USA","0","2","7","$1,355,999","http://www.cbssports.com/golf/players/playerpage/470350/ryan-moore"
"57","Emiliano Grillo","ARG","0","2","6","$1,340,240","http://www.cbssports.com/golf/players/playerpage/1804015/emiliano-grillo"
"58","Ian Poulter","ENG","0","1","3","$1,331,562","http://www.cbssports.com/golf/players/playerpage/401338/ian-poulter"
"59","Russell Knox","SCO","0","3","6","$1,320,458","http://www.cbssports.com/golf/players/playerpage/1672528/russell-knox"
"60","Scott Piercy","USA","0","4","6","$1,317,452","http://www.cbssports.com/golf/players/playerpage/472008/scott-piercy"
"61","Kelly Kraft","USA","0","2","4","$1,317,017","http://www.cbssports.com/golf/players/playerpage/1958415/kelly-kraft"
"62","Bud Cauley","USA","0","5","6","$1,301,232","http://www.cbssports.com/golf/players/playerpage/1744734/bud-cauley"
"63","Chez Reavie","USA","0","3","7","$1,263,061","http://www.cbssports.com/golf/players/playerpage/399358/chez-reavie"
"64","Kevin Tway","USA","0","3","5","$1,258,890","http://www.cbssports.com/golf/players/playerpage/1619348/kevin-tway"
"65","Ollie Schniederjans","USA","0","4","6","$1,254,369","http://www.cbssports.com/golf/players/playerpage/2156105/ollie-schniederjans"
"66","Rafa Cabrera Bello","ESP","0","3","6","$1,246,800","http://www.cbssports.com/golf/players/playerpage/1195404/rafa-cabrera-bello"
"67","Patrick Cantlay","USA","0","2","4","$1,240,052","http://www.cbssports.com/golf/players/playerpage/1839645/patrick-cantlay"
