"RK","GOLDER","CNTRY","WINS","TOP_10_FINISHES","TOP_25_FINISHES","POINTS","PROFILE"
"145","Ben Crane","USA","0","1","3","197","http://www.cbssports.com/golf/players/playerpage/238111/ben-crane"
"146","Kyle Reifers","USA","0","0","2","187","http://www.cbssports.com/golf/players/playerpage/1112793/kyle-reifers"
"147","Martin Flores","USA","0","1","3","183","http://www.cbssports.com/golf/players/playerpage/564225/martin-flores"
"148","Spencer Levin","USA","0","1","2","179","http://www.cbssports.com/golf/players/playerpage/468347/spencer-levin"
"149","Greg Owen","ENG","0","1","2","179","http://www.cbssports.com/golf/players/playerpage/401336/greg-owen"
"150","Jonathan Randolph","USA","0","1","2","177","http://www.cbssports.com/golf/players/playerpage/1995594/jonathan-randolph"
"151","Tim Wilkinson","NZL","0","0","4","177","http://www.cbssports.com/golf/players/playerpage/477023/tim-wilkinson"
"152","Julian Etulain","ARG","0","1","3","175","http://www.cbssports.com/golf/players/playerpage/1738270/julian-etulain"
"153","Alex Cejka","GER","0","0","2","169","http://www.cbssports.com/golf/players/playerpage/399374/alex-cejka"
"154","Fabian Gomez","ARG","0","0","3","168","http://www.cbssports.com/golf/players/playerpage/569990/fabian-gomez"
"155","Boo Weekley","USA","0","1","1","164","http://www.cbssports.com/golf/players/playerpage/285351/boo-weekley"
"156","Retief Goosen","SAF","0","1","2","161","http://www.cbssports.com/golf/players/playerpage/238071/retief-goosen"
"157","Ryan Brehm","USA","0","0","1","160","http://www.cbssports.com/golf/players/playerpage/557217/ryan-brehm"
"158","Chris Stroud","USA","0","1","3","157","http://www.cbssports.com/golf/players/playerpage/521003/chris-stroud"
"159","Richy Werenski","USA","0","1","2","155","http://www.cbssports.com/golf/players/playerpage/2237947/richy-werenski"
"160","John Peterson","USA","0","0","3","153","http://www.cbssports.com/golf/players/playerpage/1848129/john-peterson"
"161","Andres Gonzales","USA","0","0","1","146","http://www.cbssports.com/golf/players/playerpage/1125396/andres-gonzales"
"162","Ryo Ishikawa","JPN","0","1","2","137","http://www.cbssports.com/golf/players/playerpage/1223768/ryo-ishikawa"
"163","Chad Collins","USA","0","1","1","132","http://www.cbssports.com/golf/players/playerpage/461502/chad-collins"
"164","Joel Dahmen","USA","0","1","2","130","http://www.cbssports.com/golf/players/playerpage/1995527/joel-dahmen"
"165","Will MacKenzie","USA","0","0","2","127","http://www.cbssports.com/golf/players/playerpage/468816/will-mackenzie"
"166","Shawn Stefani","USA","0","1","1","125","http://www.cbssports.com/golf/players/playerpage/1681025/shawn-stefani"
"167","Tag Ridings","USA","0","0","1","123","http://www.cbssports.com/golf/players/playerpage/460176/tag-ridings"
"168","Bill Lunde","USA","0","1","1","121","http://www.cbssports.com/golf/players/playerpage/399345/bill-lunde"
"169","Brett Stegmaier","USA","0","0","1","120","http://www.cbssports.com/golf/players/playerpage/1196070/brett-stegmaier"
"170","Bryce Molder","USA","0","0","0","105","http://www.cbssports.com/golf/players/playerpage/399350/bryce-molder"
"171","Gonzalo Fernandez-Castano","ESP","0","0","1","105","http://www.cbssports.com/golf/players/playerpage/1194981/gonzalo-fernandez-castano"
"172","Greg Chalmers","AUS","0","0","1","104","http://www.cbssports.com/golf/players/playerpage/149693/greg-chalmers"
"173","Roberto Castro","USA","0","0","0","102","http://www.cbssports.com/golf/players/playerpage/1618632/roberto-castro"
"174","Andrew Loupe","USA","0","1","1","98","http://www.cbssports.com/golf/players/playerpage/555032/andrew-loupe"
"175","Steve Wheatcroft","USA","0","1","1","97","http://www.cbssports.com/golf/players/playerpage/476826/steve-wheatcroft"
"176","Angel Cabrera","ARG","0","1","1","96","http://www.cbssports.com/golf/players/playerpage/399373/angel-cabrera"
"177","Rory Sabbatini","SAF","0","0","1","95","http://www.cbssports.com/golf/players/playerpage/149748/rory-sabbatini"
"178","Peter Malnati","USA","0","0","0","90","http://www.cbssports.com/golf/players/playerpage/1766571/peter-malnati"
"179","Steven Alker","NZL","0","0","1","89","http://www.cbssports.com/golf/players/playerpage/458435/steven-alker"
"180","Tom Hoge","USA","0","1","2","88","http://www.cbssports.com/golf/players/playerpage/1848642/tom-hoge"
"181","Nicholas Lindheim","USA","0","0","1","84","http://www.cbssports.com/golf/players/playerpage/2021137/nicholas-lindheim"
"182","Mark Anderson","USA","0","1","2","83","http://www.cbssports.com/golf/players/playerpage/1734462/mark-anderson"
"183","Andrew Johnston","ENG","0","1","1","83","http://www.cbssports.com/golf/players/playerpage/1787447/andrew-johnston"
"184","Vijay Singh","FIJ","0","0","1","82","http://www.cbssports.com/golf/players/playerpage/132108/vijay-singh"
"185","Ryan Armour","USA","0","0","0","82","http://www.cbssports.com/golf/players/playerpage/458705/ryan-armour"
"186","Padraig Harrington","IRE","0","0","1","80","http://www.cbssports.com/golf/players/playerpage/399340/padraig-harrington"
"187","Willy Wilcox","USA","0","0","2","76","http://www.cbssports.com/golf/players/playerpage/1754482/willy-wilcox"
"188","Hiroshi Iwata","JPN","0","1","1","76","http://www.cbssports.com/golf/players/playerpage/495751/hiroshi-iwata"
"189","K.J. Choi","KOR","0","0","2","75","http://www.cbssports.com/golf/players/playerpage/238066/kj-choi"
"190","Jason Bohn","USA","0","0","0","73","http://www.cbssports.com/golf/players/playerpage/459707/jason-bohn"
"191","Ken Duke","USA","0","0","1","73","http://www.cbssports.com/golf/players/playerpage/460104/ken-duke"
"192","Carl Pettersson","SWE","0","0","1","69","http://www.cbssports.com/golf/players/playerpage/460227/carl-pettersson"
"193","Brett Drewitt","AUS","0","0","0","69","http://www.cbssports.com/golf/players/playerpage/2253203/brett-drewitt"
"194","Brian Campbell","USA","0","0","1","66","http://www.cbssports.com/golf/players/playerpage/2133368/brian-campbell"
"195","Hunter Mahan","USA","0","0","1","66","http://www.cbssports.com/golf/players/playerpage/399363/hunter-mahan"
"196","Brad Fritsch","CAN","0","0","0","65","http://www.cbssports.com/golf/players/playerpage/463879/brad-fritsch"
"197","Jon Curran","USA","0","0","0","60","http://www.cbssports.com/golf/players/playerpage/1754329/jon-curran"
"198","Sebastian Munoz","COL","0","0","0","59","http://www.cbssports.com/golf/players/playerpage/2234684/sebastian-munoz"
"199","Michael Putnam","USA","0","0","0","58","http://www.cbssports.com/golf/players/playerpage/563448/michael-putnam"
"200","Miguel Angel Carballo","ARG","0","0","1","57","http://www.cbssports.com/golf/players/playerpage/1195326/miguel-angel-carballo"
"201","Andres Romero","ARG","0","0","1","56","http://www.cbssports.com/golf/players/playerpage/1195117/andres-romero"
"202","Jason Gore","USA","0","0","1","56","http://www.cbssports.com/golf/players/playerpage/238072/jason-gore"
"203","Matt Every","USA","0","0","0","56","http://www.cbssports.com/golf/players/playerpage/555028/matt-every"
"204","John Senden","AUS","0","0","0","55","http://www.cbssports.com/golf/players/playerpage/285347/john-senden"
"205","Rick Lamb","USA","0","0","1","53","http://www.cbssports.com/golf/players/playerpage/2155966/rick-lamb"
"206","Fred Couples","USA","0","0","1","52","http://www.cbssports.com/golf/players/playerpage/131988/fred-couples"
"207","Jonathan Byrd","USA","0","0","1","51","http://www.cbssports.com/golf/players/playerpage/238106/jonathan-byrd"
"208","Mark Wilson","USA","0","0","0","51","http://www.cbssports.com/golf/players/playerpage/460139/mark-wilson"
"209","Mark Hubbard","USA","0","0","0","48","http://www.cbssports.com/golf/players/playerpage/2075034/mark-hubbard"
"210","Steve Marino","USA","0","0","0","45","http://www.cbssports.com/golf/players/playerpage/469111/steve-marino"
"211","Ernie Els","SAF","0","0","0","45","http://www.cbssports.com/golf/players/playerpage/132002/ernie-els"
"212","Bob Estes","USA","0","0","0","41","http://www.cbssports.com/golf/players/playerpage/132003/bob-estes"
"213","Jerry Kelly","USA","0","0","1","34","http://www.cbssports.com/golf/players/playerpage/132048/jerry-kelly"
"214","Freddie Jacobson","SWE","0","0","1","32","http://www.cbssports.com/golf/players/playerpage/238125/freddie-jacobson"
"215","Brendon de Jonge","ZIM","0","0","0","31","http://www.cbssports.com/golf/players/playerpage/462219/brendon-de-jonge"
"216","Tyler Aldridge","USA","0","0","0","28","http://www.cbssports.com/golf/players/playerpage/1196380/tyler-aldridge"
"217","Y.E. Yang","KOR","0","0","0","27","http://www.cbssports.com/golf/players/playerpage/477465/ye-yang"
"218","Danny Willett","ENG","0","0","0","20","http://www.cbssports.com/golf/players/playerpage/1604396/danny-willett"
"219","Dicky Pride","USA","0","0","0","18","http://www.cbssports.com/golf/players/playerpage/132096/dicky-pride"
"220","Zack Sucher","USA","0","0","0","18","http://www.cbssports.com/golf/players/playerpage/1685605/zack-sucher"
"221","Davis Love III","USA","0","0","0","17","http://www.cbssports.com/golf/players/playerpage/132060/davis-love-iii"
"222","John Merrick","USA","0","0","0","12","http://www.cbssports.com/golf/players/playerpage/518225/john-merrick"
"223","Charlie Wi","KOR","0","0","1","11","http://www.cbssports.com/golf/players/playerpage/149667/charlie-wi"
"224","Chesson Hadley","USA","0","0","0","10","http://www.cbssports.com/golf/players/playerpage/2103529/chesson-hadley"
"225","Larry Mize","USA","0","0","0","9","http://www.cbssports.com/golf/players/playerpage/132076/larry-mize"
"226","Michael Bradley","USA","0","0","0","7","http://www.cbssports.com/golf/players/playerpage/131968/michael-bradley"
"227","Bobby Wyatt","USA","0","0","0","6","http://www.cbssports.com/golf/players/playerpage/2156186/bobby-wyatt"
"228","Arjun Atwal","IND","0","0","0","6","http://www.cbssports.com/golf/players/playerpage/458794/arjun-atwal"
"229","Justin Leonard","USA","0","0","0","5","http://www.cbssports.com/golf/players/playerpage/132054/justin-leonard"
"230","Steven Bowditch","AUS","0","0","0","5","http://www.cbssports.com/golf/players/playerpage/401293/steven-bowditch"
"231","George McNeill","USA","0","0","0","4","http://www.cbssports.com/golf/players/playerpage/460200/george-mcneill"
"231","Tim Petrovic","USA","0","0","0","4","http://www.cbssports.com/golf/players/playerpage/285345/tim-petrovic"
"231","David Toms","USA","0","0","0","4","http://www.cbssports.com/golf/players/playerpage/132128/david-toms"
"234","Tim Herron","USA","0","0","0","4","http://www.cbssports.com/golf/players/playerpage/132037/tim-herron"
"235","Charlie Beljan","USA","0","0","0","4","http://www.cbssports.com/golf/players/playerpage/1619352/charlie-beljan"
"236","Eric Axley","USA","0","0","0","3","http://www.cbssports.com/golf/players/playerpage/458825/eric-axley"
"237","Brendon Todd","USA","0","0","0","3","http://www.cbssports.com/golf/players/playerpage/1232153/brendon-todd"
"238","Colt Knost","USA","0","0","0","3","http://www.cbssports.com/golf/players/playerpage/1221676/colt-knost"
"239","Bobby Gates","USA","0","0","0","3","http://www.cbssports.com/golf/players/playerpage/1675822/bobby-gates"
"240","Fred Funk","USA","0","0","0","2","http://www.cbssports.com/golf/players/playerpage/132017/fred-funk"
"241","Tommy Gainey","USA","0","0","0","2","http://www.cbssports.com/golf/players/playerpage/1221887/tommy-gainey"
"241","John Rollins","USA","0","0","0","2","http://www.cbssports.com/golf/players/playerpage/149628/john-rollins"
"243","Robert Allenby","AUS","0","0","0","2","http://www.cbssports.com/golf/players/playerpage/131953/robert-allenby"
"244","Stuart Appleby","AUS","0","0","0","2","http://www.cbssports.com/golf/players/playerpage/131956/stuart-appleby"
"245","Max Homa","USA","0","0","0","2","http://www.cbssports.com/golf/players/playerpage/2065269/max-homa"
"246","Craig Barlow","USA","0","0","0","1","http://www.cbssports.com/golf/players/playerpage/149680/craig-barlow"
"-","Brad Adamonis","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/458291/brad-adamonis"
