"RK","GOLDER","CNTRY","WINS","TOP_10_FINISHES","TOP_25_FINISHES","POINTS","PROFILE"
"-","Peter Williamson","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/2156177/peter-williamson"
"-","Ben Willman","ENG","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/477106/ben-willman"
"-","Aaron Wise","USA","0","1","1","0","http://www.cbssports.com/golf/players/playerpage/2241782/aaron-wise"
"-","Chris Wood","ENG","0","0","1","0","http://www.cbssports.com/golf/players/playerpage/477265/chris-wood"
"-","Tiger Woods","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/149765/tiger-woods"
"-","Ian Woosnam","WAL","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/401359/ian-woosnam"
"-","Zach Wright","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/2235223/zach-wright"
"-","Ashun Wu","CHN","0","0","1","0","http://www.cbssports.com/golf/players/playerpage/1610179/ashun-wu"
"-","Zach Zaback","USA","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/2838725/zach-zaback"
"-","Fabrizio Zanotti","PAR","0","0","1","0","http://www.cbssports.com/golf/players/playerpage/1196404/fabrizio-zanotti"
"-","Hui-lin Zhang","CHN","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/2376534/hui-lin-zhang"
"-","Xinjun Zhang","CHN","0","0","1","0","http://www.cbssports.com/golf/players/playerpage/1671945/xinjun-zhang"
"-","Jordan Zunic","AUS","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/2215956/jordan-zunic"
"-","Ryan Zylstra","CAN","0","0","0","0","http://www.cbssports.com/golf/players/playerpage/1228125/ryan-zylstra"
